"Time (s)","Illuminance (lx)"
2.331303852E1,4.185700000E4
2.335299376E1,4.345700000E4
2.339295344E1,4.478300000E4
2.343289610E1,4.620800000E4
2.347284438E1,4.563900000E4
2.351278653E1,4.670600000E4
2.355275227E1,4.744400000E4
2.359273462E1,4.813100000E4
2.363270926E1,4.823600000E4
2.371265981E1,4.952100000E4
2.375260786E1,5.034500000E4
2.379253520E1,5.064600000E4
2.383246606E1,5.178400000E4
2.387240196E1,5.196300000E4
2.391233536E1,5.161500000E4
2.395227356E1,5.173700000E4
2.399221204E1,5.174500000E4
2.403213965E1,5.174900000E4
2.407205508E1,5.207500000E4
2.411196208E1,5.295800000E4
2.415187188E1,5.371400000E4
2.419178344E1,5.321100000E4
2.423170524E1,5.258500000E4
2.427165754E1,5.274900000E4
2.431161219E1,5.257600000E4
2.435156512E1,5.018400000E4
2.439152508E1,5.032300000E4
2.443147747E1,4.734300000E4
2.447142133E1,4.868300000E4
2.451136340E1,4.751800000E4
2.455130680E1,4.673200000E4
2.459124286E1,4.598000000E4
2.463118192E1,4.571800000E4
2.467110247E1,4.513000000E4
2.471102403E1,4.625500000E4
2.475096790E1,4.830700000E4
2.479090368E1,5.084800000E4
2.483084223E1,5.390000000E4
2.487077981E1,5.315000000E4
2.491069934E1,5.533300000E4
2.495061797E1,5.639100000E4
2.503046360E1,5.673000000E4
2.507039356E1,5.756200000E4
2.511030649E1,5.671100000E4
2.515023508E1,5.689500000E4
2.519018219E1,5.648700000E4
2.523014176E1,5.751500000E4
2.527009614E1,5.747800000E4
2.531004813E1,6.046200000E4
2.534999098E1,6.189400000E4
2.538991876E1,6.271400000E4
2.546978809E1,6.348900000E4
2.550973551E1,6.861700000E4
2.554968516E1,7.586000000E4
2.558962805E1,1.812720000E5
2.562957161E1,1.864910000E5
2.566951290E1,1.804970000E5
2.570945590E1,2.796530000E5
2.574941126E1,3.782140000E5
2.578935942E1,2.781100000E5
2.586926895E1,2.809480000E5
2.590922301E1,1.780110000E5
2.594917110E1,5.911900000E4
2.598912715E1,5.314100000E4
2.602910231E1,3.196800000E4
2.606908036E1,3.246400000E4
2.610905485E1,2.876200000E4
2.614904192E1,2.334600000E4
2.618902282E1,2.240300000E4
2.622899879E1,1.883000000E4
2.626896462E1,1.886400000E4
2.630892868E1,1.902800000E4
2.634890747E1,1.928000000E4
2.638886391E1,2.000000000E4
2.642882188E1,1.828200000E4
2.646877844E1,1.867000000E4
2.650874118E1,1.680600000E4
2.654869704E1,1.534200000E4
2.658865493E1,1.483500000E4
2.662860200E1,1.459100000E4
2.666856020E1,1.455300000E4
2.670851782E1,1.458800000E4
2.674848629E1,1.448400000E4
2.682844430E1,1.422600000E4
2.690839208E1,1.405200000E4
2.694837223E1,1.378800000E4
2.698835301E1,1.352900000E4
2.702834090E1,1.325000000E4
2.706833157E1,1.349600000E4
2.710831672E1,1.278500000E4
2.714830633E1,1.210600000E4
2.718829071E1,1.171000000E4
2.722827223E1,1.089600000E4
